Sentences,Propaganda (Optional),Fake/Legit,Sentiment,Bots (Optional),Topic (Domain),Source,Why Fake? (Optional),MSA or ALG dialects ,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,
"🔴 #مباشر | عدد جديد من برنامج #ما_وراء_الجدران تتابعون في الجزء الأول لحلقة اليوم : ""أنا مدانة ب200 مليون ومهددة بالسجن بسبب إبني""🥺",No,Legit,,,,,,,,3.4K,2.6K,26,347,30,319,26,1471,416667082321825
#البرلمان | #الجزائر تعرف على النواب التي رفعت عنهم الحصانة البرلمانية 2019,No,Legit,,,,,,,,584,566,9,9,,,,25,3277081628986233
#النهار | #الجزائر  حادثة الوادي: النجوم يتعاطفون مع أسر الضحايا و يوجهون عبارات التعازي,No,Legit,,,,,,,,842,738,,13,,88,3,61,3277067155654347
"#رئاسيات_2019 | #الجزائر_تنتخب  راغب في الترشح للرئاسيات: أول إهتماماتي هي إقامة العدالة وسأبدأ بنفسي ""لي غلط يخلص""",No,Legit,,,,,,,,1.1K,957,124,35,10,2,6,301,3.27703E+15
سطيف.. إنهاء مهام مدير الشباب والرياضة عزيز طاهير,No,Legit,,,,,,,,641,631,3,5,1,,1,15,3277016028992793
#رئاسيات_2019 #الجزائر_تنتخب راغب في الترشح للرئاسيات: شباب الحراك نزع عنا الخوف من النظام الدكتاتوري الذي كان يحكم الجزائر,No,Legit,,,,,,,,799,707,60,18,7,1,6,164,3277007575660305
“البارصا” يكشف تفاصيل اصابة ميسي,No,Legit,,,,,,,,575,545,13,4,2,11,,14,3277002115660851
خلق 4 #مناطق_اقتصادية للمؤسسات الناشئة والإستثمارات الأخرى,No,Legit,,,,,,,,393,377,6,6,3,,1,13,3276988532328876
حبس #ممرضة_كوبية بمستشفى #الوادي بتهمة الإهمال المؤدي إلى الوفاة,No,Legit,,,,,,,,Brahim Fethiza and 1.2K others,1.1K,9,29,37,9,7,151,3276922952335434
محرز في التشكيلة المثالية الأوروبية رفقة كوتينيو ولورينتي,No,Legit,,,,,,,,6.8K,6.5K,5,298,27,1,3,60,3.27687E+15
#برلمان | #رفع_الحصانة  النواب يصوتون بالأغلبية على رفع الحصانة عن #بهاء_الدين_طليبة  بـ 277 صوت,No,Legit,,,,,,,,3K,2.7K,240,66,12,3,14,380,3276840365677026
#الوادي.. إيداع 6 من الطاقم الطبي بـ #مستشفى_بن_ناصر الحبس المؤقت,No,Legit,,,,,,,,589,549,2,22,8,3,5,41,3276804815680581
🔴🔴 #وردنا_الآن | #الوادي ✅إيداع 6 من الطاقم الطبي بمستشفى بن ناصر الحبس المؤقت ✅إيداع مدير المستشفى والمراقبة الطبية ومدير المناوبة الحبس المؤقت ✅إيداع رئيس وحدة حديثي الولادة ومنسقة دار الولادة الحبس المؤقت ✅إيداع عون صيانة غير مناوب الحبس المؤقت,No,Legit,,,,,,,,11K,10K,51,246,191,97,54,1614,3276782052349524
اخبار ولاية #بسكرة شاهد معاناة عائلة تعيش تحت خط الفقر بسيدي خالد,No,Legit,,,,,,,,1.8K,1.5K,1,18,11,291,30,198,3276752149019181
أخبار ولاية #باتنة  حجز #آثار_رومانية ومخدرات ومشروبات كحولية في عمليات أمنية مختلفة,No,Legit,,,,,,,,681,636,8,9,26,1,1,23,3276707865690276
#سليماني يتجاوز رقمه التهديفي بعد 360 دقيقة فقط مع #موناكو,No,Legit,,,,,,,,8.5K,8.2K,90,239,19,,,117,3276701149024281
المصادقة على قائمة نواب الرئيس الجدد بـ #المجلس_الشعبي_الوطني,No,Legit,,,,,,,,350,338,5,3,,,4,28,3276691275691935
#karim_tabou 🔴🔴 #يحدث_الآن  شاهد لحظة خروج #كريم_طابو من سجن القليعة,No,Legit,,,,,,,,3.3K,2.7K,319,205,9,13,40,1131,3.27667E+15
بالصور.. #بوقادوم يلتقى رئيس دائرة الشؤون الخارجية السويسرية #إيجناسيو_كاسيس,No,Legit,,,,,,,,374,358,9,5,,1,1,19,3276626902365039
جريمة شنعاء  بحي بانوراما بالحراش 😮 للتفاصيل أكثر  ⬇️ ⬇️ ⬇️,No,Legit,,,,,,,,4.7K,3.3K,8,19,449,832,90,1169,3276601472367582
الإفراج عن كريم طابو ووضعه تحت الرقابة القضائية,No,Legit,,,,,,,,830,745,28,38,5,1,13,133,3276571079037288
🔴#عــــــــاجل   #النهــــــــار  ⬅غرفة الإتهام بمجلس #قضاء_تيبازة تقرر الإفراج عن #كريم_طابو ⬅غرفة الاتهام تقرر وضع كريم طابو تحت #الرقابة_القضائية  ⬅قرار غرفة الاتهام جاء بعد #استئناف تقدم به محامو كريم طابو,No,Legit,,,,,,,,4.2K,3.9K,105,133,17,5,56,523,3276548815706181
🔴#عاجل  نواب البرلمان يصوتون لرفع الحصانة عن #طليبة تفاصيل التصويت:⬇⬇⬇,No,Legit,,,,,,,,482,440,31,6,2,1,2,47,3276523755708687
#الجزائر  وزير الصحة يجري حركة تغيير في سلك مدراء #الصحة بهذه الولايات,No,Legit,,,,,,,,414,391,7,3,1,,12,49,3276516369042759
🔴#هام #برلمان: النواب يصوتون بالأغلبية على رفع الحصانة عن بهاء الدين طليبة بـ 277 صوت,No,Legit,,,,,,,,4.8K,4.3K,441,103,10,5,18,412,3276502472377482
🔴#الجزائر  هذه هي حقيقة فيديو إسعاف مريضة عند مدخل المستشفى الجامعي بـ #عنابة! 👇👇👇,No,Legit,,,,,,,,261,245,,3,8,5,,5,3276489035712159
🔴#الجزائر  نواب المجلس الشعبي الوطني يرفضون #رفع_الحصانة عن #بن_حمادي 👇👇👇,No,Legit,,,,,,,,458,385,28,4,9,,32,164,3.27643E+15
📌#الجزائر  #محرقة_مستشفى_الوادي ايداع مدير المؤسسة الاستشفائية الام والطفل بشير بن ناصر #الحبس_المؤقت التفاصيل: 👇👇👇,No,Legit,,,,,,,,348,319,1,6,2,18,2,32,3276412985719764
"🔴نتائج تصويت نواب #البرلمان على رفع الحصانة عن إسماعيل #بن_حمادي ⬅""لا"" .. 156 صوتا ⬅""نعم"".. 131 صوتا ⬅45 نائبا يمتنعون عن التصويت وإلغاء 7 أصوات",No,Legit,,,,,,,,2.7K,2.3K,131,18,29,5,215,978,3276387069055689
"📌#رئاسيات2019 #علي_ذراع : ""وصلنا لـ64 طلب ترشّح لـ #الرئاسيات والعدد في إرتفاع""",No,Legit,,,,,,,,675,607,47,13,4,,4,173,3276357932391936
📌#رياضة  إنطلاق عملية بيع #تذاكر لقاء #الجزائر- #كولومبيا بسعر 20 أورو ⚽⚽⚽,No,Legit,,,,,,,,4.3K,4K,68,142,18,,4,136,3276348102392919
🔴#الجزائر_تحت_الصدمة  #محرقة_مستشفى_الوادي ايداع مدير المؤسسة الاستشفائية الام والطفل بالوادي بشير بن ناصر الحبس المؤقت,No,Legit,,,,,,,,2.6K,2.5K,21,37,14,25,3,157,3276339002393829
ايداع مدير المؤسسة الاستشفائية الام والطفل بالوادي بشير بن ناصر  الحبس المؤقت,No,Legit,,,,,,,,5.4K,5.1K,98,58,77,12,15,417,3276335422394187
✅#رئاسيات_2019 : 64 راغبا في #الترشح يسحبون إستمارات إكتتاب الترقيعات,No,Legit,,,,,,,,621,561,44,14,2,,,106,3276210455740017
"✅عضو #السلطة_المستقلة_للإنتخابات : "" عملية #الإحصاء والمراجعة جارية في كلّ #البلديات """,No,Legit,,,,,,,,384,362,10,7,1,1,3,35,3276204752407254
✅شاهد.. الحالة الكارثية للعيادة المتعددة الخدمات بتاجموت في #الأغواط😮😮,No,Legit,,,,,,,,807,632,5,4,52,70,44,120,3276176949076701
⭕#الجزائر  عدم تسليم البضائع في وقتها ونفاذ المخزون سبب عزوف #المؤسسات_الأجنبية على المنتج الجزائري,No,Legit,,,,,,,,341,331,6,1,1,2,,7,3276287012399028
"والد اللاعب #نبيل_فقير  :"" نبيل جزائري وفرح كثيرا بتتويج المنتخب الوطني !!""",No,Legit,,,,,,,,2.3K,1.6K,514,41,10,5,171,887,3274114975949565
🔴#الجزائر_تحت_الصدمة مثول 6 أشخاص أمام وكيل الجمهورية في قضية حريق #مستشفى_الوادي واستدعاء طبيبة وممرضة كوبيتين التفاصيل: 👇👇👇,No,Legit,,,,,,,,614,588,,8,3,15,,36,3276273202400409
🔴كلمة الفريق #قايد_صالح خلال الزيارة التي قادته إلى تندوف قايد صالح: لن نمل عن الدعوة إلى التوجه لصناديق #الإقتراع,No,Legit,,,,,,,,3.5K,2.9K,108,439,9,12,46,1124,981770078827054
,No,Legit,,,,,,,,1.4K,1.3K,36,40,3,,2,102,3276230899071306
"#الجزائر_تحت_الصدمة ✅مراسل #النهار بـ #الوادي : ""#إستقالة جماعية لعمال مستشفى الأم والطفل تضامنا مع زملائهم الموقوفين """,No,Legit,,,,,,,,5.7K,5.1K,213,60,64,117,224,1858,3276172165743846
,No,Legit,,,,,,,,2.5K,2.3K,72,108,3,,9,230,3276190282408701
🔴#الجزائر_تحت_الصدمة حقائق جديدة تكشف المستور في “محرقة” #مستشفى_الوادي التفاصيل:👇👇👇,No,Legit,,,,,,,,1.5K,1.4K,5,12,27,77,52,199,3276178799076516
"✅#تندوف: بعد بثه على قناة #النهار.. محسنون يتمكنون من جمع أكثر من ""300 مليون"" لإجراء  الطفل حميد عملية جراحية",No,Legit,,,,,,,,9.2K,7.2K,4,490,10,1.4K,9,1901,3276154339078962
#إنصحوني ✅#امرأة اتّصلت بأم صاحبي قاتلها وليدك راه مسحور ولازم تنحّي هذا السحر  بالذهب.. #الشيخ_شمس_الدين يرد,No,Legit,,,,,,,,2K,1.8K,106,85,16,5,,55,3275814085779654
#رئاسيات2019 #رحابي لن يترشح للرئاسيات المقبلة,No,Legit,,,,,,,,380,364,9,6,,,1,54,3276128679081528
🔴تأجيل قضية #الجنرال_بن_حديد إلى 9 أكتوبر,No,Legit,,,,,,,,421,399,6,3,3,,10,32,3276110805749982
🔴#هام     #النهار #قايد_صالح: “#الانتخابات_الرئاسية فرصة غير مسبوقة لارساء الثقة في البلاد” التفاصيل: ⬇⬇⬇,No,Legit,,,,,,,,622,555,27,35,,,5,124,3276082489086147
🔴🔴 #هام        l      #النهار  تأجيل قضية #الجنرال_بن_حديد في محكمة الإستئناف بمجلس قضاء العاصمة عن تهمة إهانة هيئة نظامية إلى يوم 9 أكتوبر المقبل,No,Legit,,,,,,,,1.3K,1.3K,14,5,3,,4,36,3276080599086336
✅مكتتبو #عدل 2 يحتجون على تأخر مشاريعهم السكنية بـ #تيزي_وزو,No,Legit,,,,,,,,505,488,8,3,1,4,1,36,3.27608E+15
⭕انتشال جثة #حراق وإجلاء 6 آخرين بـ #تيبازة,No,Legit,,,,,,,,918,737,,6,33,140,2,84,3276075452420184
#الجزائر النائب #بن_حمادي: “التهم الموجهة إليّ كيدية وسياسية.. ولا علاقة لي بسلال” التفاصيل: 👇👇👇,No,Legit,,,,,,,,659,592,44,2,1,1,19,100,3276059765755086
"#رياضة #سعيد_عليق :"" بعض أنصار #شبيبة_القبائل شوّهو صورة الفريق"" ⚽⚽⚽",No,Legit,,,,,,,,785,738,22,10,5,4,6,71,3276051582422571
🔴#هام      #النهار ✅#قايد_صالح: #الانتخابات_الرئاسية فرصة غير مسبوقة لإرساء الثقة في البلاد ✅قايد صالح: #الرئاسيات فرصة لتوطيد الممارسة الديمقراطية التي غيبتها #العصابة,No,Legit,,,,,,,,2K,1.8K,108,112,2,1,12,340,3276036482424081
✅مدير المصالح الصحية بمستشفى #الأغواط: وفاة طفلين في حادث #اختناق عائلة من 6 أفراد,No,Legit,,,,,,,,1.5K,1.2K,1,13,43,207,10,246,3.27601E+15
🔴#الجزائر  #استقالة جماعية للطاقم الطبي بدار الولادة بـ #مستشفى_الوادي #الجزائر_تحت_الصدمة التفاصيل: 👇👇👇,No,Legit,,,,,,,,2.5K,2.2K,25,36,70,130,38,843,3275965439097852
"🔴#يحدث_الان #كمال_شيخي المدعو ""البوشي"" يمثل أمام قاضي التحقيق بـ #محكمة_سيدي_امحمد",No,Legit,,,,,,,,4.4K,4.2K,83,37,15,4,5,263,3275956655765397
#رياضة  #بيراف يفند خبر تجميد نشاط 8 أعضاء من اللجنة التنفيذية للجنة الأولمبية!,No,Legit,,,,,,,,407,399,1,3,,,4,11,3275949089099487
"✅#سفير_الصين بالجزائر :"" هذا ما اكتشفته في الجزائريين بعد 8 أشهر فقط من تواجدي هنا""",No,Legit,,,,,,,,3.2K,2.6K,238,271,23,5,3,430,3275751949119201
#الجزائر #جلاب: “القاعدة المنظمة للاستثمار الأجنبي 51/49  تم العدول عنها”,No,Legit,,,,,,,,456,438,7,8,2,,1,31,3275866755774387
#محرقة_مستشفى_الوادي ✅هكذا تعاملت #الحماية_المدنية بـ #الوادي مع الحريق الذي شب في مستشفى الأم والطفل وتسبب في هلاك 8 رضع حديثي الولاة,No,Legit,,,,,,,,927,802,1,7,4,96,17,58,3275862382441491
⚫نواب #البرلمان في وقفة ترحم على ضحايا حادث #مستشفى_الوادي 😢🥺 إنا لله وإنا إليه راجعون .. 🙏🙏,No,Legit,,,,,,,,9K,7.7K,54,167,17,985,127,1779,3275829745778088
#صريح_جدا  ✅#باتنة.. حي شيدي بـ #مروانة خارج مجال التنمية,No,Legit,,,,,,,,959,913,7,13,5,18,3,36,3275793179115078
🔴#الجزائر هيئة دفاع المتهمين الـ4 يعلنون عن استئنافهم للحكم التفاصيل:👇👇👇,No,Legit,,,,,,,,762,698,48,8,4,,4,122,3275791709115225
📌#البليدة هذه أقوال الجنرال #توفيق” أمام المحكمة العسكرية والمحامي يستأنف الحكم التفاصيل:👇👇👇,No,Legit,,,,,,,,1.2K,1.1K,35,9,3,,1,68,3275786049115791
"✅#سفير_الصين بـ #الجزائر يتحدّث بالعربية :"" العلاقة بين #الصين والجزائر علاقة متميزة جدّا وقوية""",No,Legit,,,,,,,,1.5K,1.3K,38,89,12,4,1,227,3.27574E+15
#صريح_جدا_بوليتيك  ✅هل يملك #المواطن الجزائري بطاقة الناخب.. وهل سيدلي بصوته في #الرئاسيات المقبلة؟ ⬇⬇⬇,No,Legit,,,,,,,,836,744,58,26,1,1,6,249,3275726142455115
🔴#هام   l   #النهار  #الوزير يقيل المدير الولائي للصحة في #عين_الدفلى,No,Legit,,,,,,,,614,582,18,5,6,,3,68,3275692945791768
🔴#هام   l   #النهار  #وزير_الصحة يقيل المدير الولائي لولاية #عين_الدفلى,No,Legit,,,,,,,,3.6K,3.5K,76,44,12,6,6,251,3275676299126766
#صحة_MAG 🔸 تعرفواعلى مرض #البهاق ⬇⬇⬇,No,Legit,,,,,,,,460,446,,6,8,,,11,3275655242462205
#رياضة  عودة #سليماني ” القوية حيّرت الجميع !,No,Legit,,,,,,,,888,810,36,39,3,,,61,3275647065796356
"⭕هذا ما صرح به ""#الجنرال_توفيق"" أمام المحكمة العسكرية ⬇⬇⬇",No,Legit,,,,,,,,12K,11K,860,218,79,14,113,2504,3275608799133516
#قالو_ناس_زمان  ⚜الشتاء هو وغم.. والربيع ما تشكر ما تذم⚜,No,Legit,,,,,,,,2K,1.9K,2,67,1,,,28,3275595162468213
🔵طالعوا #النسخة_الورقية لجريدة #النهار ليوم الأربعاء 25 سبتمبر 2019 عبر الرابط التالي: https://cutt.us/nYRCe,No,Legit,,,,,,,,5.6K,5.2K,5,34,11,320,12,161,3.27553E+15
#رئاسيات_2019 : 56 راغب في #الترشح سحبوا #إستمارات_التوقيعات من بينهم 03 نساء,No,Legit,,,,,,,,883,766,84,7,18,,8,164,3.27466E+15
15سنة سجنا نافذا للسعيد بوتفليقة والتوفيق وطرطاق وحنون,No,Legit,,,,,,,,3K,2.5K,291,131,19,5,57,898,3274968465864216
🔴#عاجل   #النهار  #المحكمة_العسكرية بالبليدة تنطق بالاحكام في حق المتهمين بالتآمر ◀️15 سنة سجنا نافذا لكل من #السعيد_بوتفليقة وحنون وطرطاق والتوفيق ◀️20سنة سجنا نافذا غيابيا في حق خالد #نزار ونجله لطفي ورجل الاعمال بن حمدين,No,Legit,,,,,,,,25K,21K,2.1K,963,260,46,321,7595,3274951869199209
#الأحوال_الجوية  #توقعات طقس نهار #الأربعاء 25 #سبتمبر 2019 #أجواء_مستقرة على العموم,No,Legit,,,,,,,,1.2K,1.2K,6,22,2,,,29,3274924352535294
توقف مباراة #شبيبة_القبائل و #شباب_بلوزداد بعد إقتحام الأنصار أرضية ملعب #تيزي_وزو,No,Legit,,,,,,,,863,774,43,16,12,6,12,170,3274517145909348
#تيارت: تاقدمت.. #قلعة تاريخية شاهدة على مرور #الأمير_عبد_القادر_الجزائري,No,Legit,,,,,,,,949,920,5,20,3,1,,19,3274703965890666
#بارادو يحقق الأهم أمام #جمعية_الشلف و #شباب_قسنطينة يعود بفوز ثمين من #مقرة,No,Legit,,,,,,,,860,851,2,6,1,,,12,3274697865891276
#أمن: وسائل الوقاية وأجهزة الإنذار ضد الحرائق.. ما محلها في #المستشفيات,No,Legit,,,,,,,,1.1K,1K,1,10,4,94,49,88,3274689599225436
#رئيسة_الهيئة_الوطنية_لحماية_الطفولة مريم شرفي تعزي عائلات #ضحايا_مستشفى_وادي_سوف,No,Legit,,,,,,,,871,746,3,6,3,74,39,163,3274685955892467
#عين_تموشنت.. العثور على جثة أربعيني بمنزله ببلدية #المالح,No,Legit,,,,,,,,782,638,,2,26,115,1,90,3274783509216045
#سكيكدة.. تفكيك عصابة سرقة السيارات باستعمال جهاز التشويش,No,Legit,,,,,,,,475,460,5,3,6,1,,7,3274764669217929
"#سرّي_جدًا: ""هكذا نهبت أموال #البنوك و #العقار الفلاحي باسم #الاستثمار""",No,Legit,,,,,,,,1.2K,1.1K,3,16,7,7,37,19,3274745712553158
تفحم #الرضع يكشف مستوى الإهمال واللامبلاة في #المستشفيات_الجزائرية,No,Legit,,,,,,,,1K,795,,5,4,164,84,117,3.27443E+15
#الشيخ_النوي: #الطاقة_الشمسية مشروع خرطي في خرطي,No,Legit,,,,,,,,557,491,41,9,,3,13,153,3274681172559612
#مجلس_النواب_الأمريكي يبداء إجراءات عزل #ترامب,No,Legit,,,,,,,,1K,889,86,38,17,3,3,140,3274743879220008
#رأي_القانون: حجزوا سيارتي سنتين ونصف ولم أعوض.. #المحامي_كورتل يطالب بتعويض كبير,No,Legit,,,,,,,,966,931,11,21,1,1,1,17,3274379775923085
تتويج #جزائري في #بطولة_الذكاء_الإصطناعي_والتعلم_الآلي,No,Legit,,,,,,,,968,882,2,74,10,,,44,3.27472E+15
تركيب 39 محطة لـ #خدمة_الجيل_الرابع لاتصالات الجزائر بـ #سكيكدة,No,Legit,,,,,,,,446,430,10,4,2,,,30,3274717502555979
#دبلوماسية: #السفير_السعودي_بالجزائر يعزي عائلات ضحايا #حريق_مستشفى_الوادي,No,Legit,,,,,,,,638,549,,13,1,72,3,51,3274654899228906
"#جربها_معانا..""الدراجات الكلاسيكية""",No,Legit,,No,,,,,,933,895,9,28,2,,,12,3274442022583527
#رئيس_منتدى_المؤسسات يعلن القطيعة عن #السياسة,No,Legit,,No,,,,,,364,347,12,3,1,,1,18,3274693019225094
بالصور..فوز غير مقنع #للعميد أمام #ظفار العنيد !,No,Legit,,No,,,,,,632,604,15,11,,2,,25,3274677849226611
#الشيخ_النوي: يا #وزير_النقل ناحيلنا الجبال تاع #زرالدة.. #الأراضي_الفلاحية وما سلكتش,No,Legit,,No,,,,,,781,722,34,6,4,2,13,51,3274673829227013
#حكومة: #الوزير_الأول يعزي عائلات ضحايا #حريق_مستشفى_الوادي,No,Legit,,No,,,,,,592,476,4,8,2,39,63,156,3274644839229912
"#الجلفة.. #فرنسي يعتنق #الإسلام بالمسجد "" العتيق"" بلدية الزعفران",No,Legit,,No,,,,,,2.3K,2.1K,2,216,24,13,2,333,3274666255894437
#أوناس يتعرض لإصابة خطيرة و #بوداوي في أول مشاركة مع #نيس,No,Legit,,No,,,,,,3.2K,2.9K,2,27,37,160,1,92,3274664335894629
"#طالع_هابط: #الشيخ_النوي.. "" الله يرحم شهداء الوادي""",No,Legit,,No,,,,,,2.7K,2.3K,4,33,5,341,54,216,3274650042562725
#علي_دراع: اللجان الولائية المكلفة بمراجعة #القوائم_الإنتخابية ستنصب إبتداء من اليوم,No,Legit,,No,,,,,,338,323,6,5,,,4,25,3274619395899123
#رئاسة: #رئيس_الدولة يعزي عائلات ضحايا #حريق_مستشفى_الوادي,No,Legit,,No,,,,,,729,659,8,21,,31,10,83,3274632429231153
#سليماني ممرر حاسم ويتفوق على #عطّال و #أوناس,No,Legit,,No,,,,,,2.7K,2.6K,16,81,5,,,27,3274627582564971
#وهران #قايد_صالح يشرف لليوم الثاني على تمرين رمايات بـ #الصواريخ ضد أهداف بحرية وأخرى برية انطلاقا من الغواصتين #الهقار و #الونشريس التابعتين للقوات البحرية,No,Legit,,No,,,,,,2.2K,2.1K,55,132,4,1,,180,527638714661182
"تشاهدون في #رأي_القانون  ""هكذا ردّ المحامي كورتل على العامل الذي رفض الإمتثال لأوامر ربّ عمله""",No,Legit,,No,,,,MSA,,1K,1K,14,28,6,,2,63,1797445103732541
مباشر: حريق يشب بمستودع لمصنع مختص في تصنيع الأثاث بمنطقة #حمادي  #بومرداس,No,Legit,,No,,,,MSA,,3K,2.3K,19,86,251,337,30,931,2403492799732969
#الجزائر  ختم شرح كتاب موطأ #الإمام_مالك.. حسنة تضاف لقاموس علاّمة الجزائر #آيت_علجت,No,Legit,,No,,,,MSA,,6K,5.3K,7,642,3,45,2,846,1.05186E+15
"#إنصحوني #الشيخ_شمس_الدّين: ""لي يخلف صلاتو بالنافلة كي شغول شريت التواقي وماعندكش دار""",No,Legit,,No,,,,MSA,,Brahim Fethiza and 2.4K others,2.2K,105,132,11,11,9,153,2916029708412705
#طالع_هابط  #الشيخ_النوي : بودربالة في المدية.. هذه المناظر لا تشاهدها إلا في الجزائر,No,Legit,,No,,,,MSA,,1.9K,1.7K,36,38,27,8,19,294,720689715065583
#رأي_القانون  أخذ أموالي ولا يزال حرّ طليق هل عندي الحقّ ندخلوا لبوهدمة؟.. المحامي كورتل يجيب,No,Legit,,No,,,,MSA,,1.6K,1.5K,31,40,3,2,4,71,399094417657766
"#برنامج_360  الممثل #أحمد_مداح نجم مسلسل #أولاد_الحلال يرد على 20 سؤال ويكشف أسرارا لاول مرة ..""نطلب السماح من مرتي..وهذا واش خبيت على والدي"" !!",No,Legit,,No,,,,MSA,,6.1K,5.5K,154,447,19,15,8,193,2471078669674471
⭕هذا ما قاله عبد المجيد #تبون بعد سحب استمارات الترشح لـ #رئاسيات_2019,No,Legit,,No,,,,MSA,,4.6K,3.7K,256,394,38,20,156,1815,530211034448683
🔴#مباشر من #العاصمة  ندوة صحفية لعلي #بن_فليس رئيس حزب #طلائع_الحريات,No,Legit,,No,,,,MSA,,2K,1.3K,204,133,23,20,348,2874,2604586132921741
🔴مباشر من #العاصمة  اجتماع اللجنة المركزية لحزب #طلائع_الحريات لتحديد موقفها من الرئاسيات,No,Legit,,No,,,,MSA,,1.6K,1.1K,156,87,18,24,180,1405,2409277212483376
"🔴 #مباشر | عدد جديد من برنامج #ما_وراء_الجدران تتابعون في الجزء الثاني لحلقة اليوم : ""إلى أصحاب القلوب الرحيمة من ينقذ عمي محمد من ورم خبيث ينهش جسده""",No,Legit,,No,,,,MSA,,2.7K,2K,5,127,8,540,9,1120,517873938997484
🔴كلمة الفريق #قايد_صالح خلال الزيارة التي قادته إلى تندوف قايد صالح: لن نمل عن الدعوة إلى التوجه لصناديق #الإقتراع,No,Legit,,No,,,,MSA,,3.5K,2.9K,108,439,9,12,46,1124,981770078827054
🔴#مباشر من البليدة  تصريحات خالد برغل محامي #طرطاق,No,Legit,,No,,,,MSA,,6.2K,5.3K,382,285,49,32,142,1500,348329489234794
"✅تابعوا قصة ""عمي بوعلام"" 70 سنة كفاح لجلب القوت #من_عمق_الجزائر",No,Legit,,No,,,,MSA,,2.5K,2.3K,5,184,7,61,2,236,536291113774266
برنامج #Toutes_options  قصة بشير تشوكتش وشاحنته renault goelette 1400 1965,No,Legit,,No,,,,MSA,,1.8K,1.7K,2,83,12,2,2,78,685313815299879
"""شوفو حكايتي"" ✅هذه هي حكاية معناة أب لخمس بنات ""نخاف نخلي بنات وحدهم ونروح"" ....شاهدوا 😢😢",No,Legit,,No,,,,MSA,,9.9K,7.7K,24,532,47,1.5K,47,1832,459143034813529
تتابعون الآن حصة #داخل_الـ18  نقاش مثير مع #قرباج #لحلو واعلاميين حول قرارات #الفاف الأخيرة وتغيير نظام البطولة الوطنية الأولى والثانية.,No,Legit,,No,,,,MSA,,1.1K,1K,23,81,9,8,23,179,381357386148037
🔴🔴#مباشر  l  #محكمة_سيدي_امحمد قاضي التحقيق يأمر بإيداع محمد #جميعي #الحبس_المؤقت,No,Legit,,No,,,,MSA,,3.2K,2.8K,161,153,34,13,9,578,395237854735076
#مباشر ندوة صحفية  لوزيرالتربية عبد الحكيم بلعابد - #البليدة,No,Legit,,No,,,,MSA,,948,833,37,47,3,4,24,330,930223394017755
من برنامج #ما_وراء_الجدران  #المحامي_كورتل يشرح الإجراءات القانونية لزواج الجزائريات بالأجانب,No,Legit,,No,,,,MSA,,852,792,10,29,5,2,14,152,2007109702722975
"✅تابعوا حوار خاص مع الفكاهي #حسان_كركاش : ""طعنوني من الخلف بعد وفاة والدي والفهامة تعتبر عائلتي """,No,Legit,,No,,,,MSA,,7.2K,6.6K,24,306,18,178,6,151,693814584417771
🔴🔴#مباشر من #العاصمة أعضاء #السلطة_الوطنية_المستقلة_للإنتخابات يؤدون اليمين القانونية,No,Legit,,No,,,,MSA,,2.4K,1.9K,224,160,15,20,73,1492,2338700222845338
🔴#مباشر من المركز التقني بسيدي موسى  ندوة صحفية  لخير الدين #زطشي بعد المصاقة على تغيير نظام البطولة,No,Legit,,No,,,,MSA,,1K,898,28,74,9,9,20,505,764166107370183
"#من_عمق_الجزائر :""هكذا يعيش سكان حي ""الكاريار"" بالبرواقية.. سكنات هشّة ومعاناة وفصل الشتاء على الأبواب""",No,Legit,,No,,,,MSA,,1.8K,1.5K,5,42,9,223,12,228,2398593663714356
🔴🔴#يحدث_الآن | #الجزائر  ✅ #مباشر تتابعون الآن خطاب رئيس الدولة عبد القادر #بن_صالح للأمة الجزائرية . #الجزائر_تنتخب | #رئاسيات_2019 | #12ديسمبر,No,Legit,,No,,,,MSA,,3.5K,2.6K,153,355,45,43,279,2811,735564106908883
🔴🔴#يحدث_الآن | #العاصمة_تغرق 🔷حالة استنفار في صفوف الحماية المدنية بسبب نداءات استغاثة من مواطنين عالقين في السسيول الجارفة ⚠️,No,Legit,,No,,,,MSA,,14K,10K,85,458,1.3K,1.4K,168,3767,512968209466830
"#رأي_القانون:  #المحامي_كورتل يتفاعل مع متصل : ""غير معقول أن يحرم الجدّ من رؤية حفيدته بعد وفاة والدها""",No,Legit,,No,,,,MSA,,1.7K,1.6K,4,27,3,59,3,49,677819579361215
🔴🔴#مباشر من #مجلس_الأمة وزير العدل حافظ الأختام يعرض مشروعي قانوني تعديل نظام الإنتخابات والسلطة المستقلة على اللجنة القانونية,No,Legit,,No,,,,MSA,,1.7K,1.5K,54,134,11,4,15,449,483532108866856
⭕#مباشر  ✅مبعوث #النهار إلى #مصر ⚽🏆🇩🇿 اراء #أنصار_الخضر حول اداء #المنتخب_الوطني💪,No,Legit,,No,,,,MSA,,875,755,8,106,2,,4,119,480902979338288
🔴🔴#مباشر من #القاهرة  حصة تدريبية للاعبيي المنتخب الوطني الذين لم يتم إشراكهم أمس أمام السنغال,No,Legit,,No,,,,MSA,,3K,2.6K,17,325,4,4,6,238,1267303040096993
